Filename	DirectLink	FileLink
A20420561	https://drive.google.com/uc?id=1Onh8nsn-fGWbs0jqmEFalCVF5EC2kwlu&export=download	https://drive.google.com/file/d/1Onh8nsn-fGWbs0jqmEFalCVF5EC2kwlu/edit
A20420559	https://drive.google.com/uc?id=1MtrW19kbkmyawCHegPXZnioHJ09MdxME&export=download	https://drive.google.com/file/d/1MtrW19kbkmyawCHegPXZnioHJ09MdxME/edit
A20420548	https://drive.google.com/uc?id=1VkdR33RF9fZP1IeVJVGQk_8-OktR6K0k&export=download	https://drive.google.com/file/d/1VkdR33RF9fZP1IeVJVGQk_8-OktR6K0k/edit
A20420543	https://drive.google.com/uc?id=14Ki2GAJ7IVVweYZBzMjc9oryEXLcpfIG&export=download	https://drive.google.com/file/d/14Ki2GAJ7IVVweYZBzMjc9oryEXLcpfIG/edit
A20420542	https://drive.google.com/uc?id=1iNIvqHqdPWrS5H6JGbNCUIKf6AODLsdq&export=download	https://drive.google.com/file/d/1iNIvqHqdPWrS5H6JGbNCUIKf6AODLsdq/edit
A20420528	https://drive.google.com/uc?id=1cc226OxuQlGi8LHdoqelg1g_Th4eU3WP&export=download	https://drive.google.com/file/d/1cc226OxuQlGi8LHdoqelg1g_Th4eU3WP/edit
A20420497	https://drive.google.com/uc?id=1mY7g2We9BnBVC9argHOnih9jCbTVHpGN&export=download	https://drive.google.com/file/d/1mY7g2We9BnBVC9argHOnih9jCbTVHpGN/edit
A20420505	https://drive.google.com/uc?id=19VSO7tqE5kFM0XX-KkFXAi7_Yjvwhr-W&export=download	https://drive.google.com/file/d/19VSO7tqE5kFM0XX-KkFXAi7_Yjvwhr-W/edit
A20420496	https://drive.google.com/uc?id=1u8ioN4-K1i74ScSuCp5ldldcIpIPJFQo&export=download	https://drive.google.com/file/d/1u8ioN4-K1i74ScSuCp5ldldcIpIPJFQo/edit
A20420493	https://drive.google.com/uc?id=1cIFfHlTAJbsYiAuJjrdA7TUCeIAS0pDy&export=download	https://drive.google.com/file/d/1cIFfHlTAJbsYiAuJjrdA7TUCeIAS0pDy/edit
A20420489	https://drive.google.com/uc?id=1WDBLhYLOUvar8Xu2zGwUmAoA2M2QA0ou&export=download	https://drive.google.com/file/d/1WDBLhYLOUvar8Xu2zGwUmAoA2M2QA0ou/edit
A20420490	https://drive.google.com/uc?id=1IWGbbSejg280aAvcKmh_dpkPqiNoWgqY&export=download	https://drive.google.com/file/d/1IWGbbSejg280aAvcKmh_dpkPqiNoWgqY/edit
A20420485 	https://drive.google.com/uc?id=12HTmTcfP796AAfHkAdRimXTQmnru-qSZ&export=download	https://drive.google.com/file/d/12HTmTcfP796AAfHkAdRimXTQmnru-qSZ/edit
